Model,Mean MAE,Std MAE,Mean RMSE,Std RMSE,Mean R2,Std R2
Linear Regression,14.681334612672549,5.207698437454635,18.365631123684484,5.165198746482783,-0.03279617860820494,0.6488696861025661
Decision Tree,8.64980382846529,0.4984940719057952,12.12063575405872,0.9996534063858311,0.5945163694432076,0.09056541079335041
Random Forest,7.266628185585771,0.48449107436931704,10.04387320666926,0.8826520502790532,0.720189353605061,0.07210446468633902
Gradient Boosting,7.345214357758138,0.4158942444350249,10.22634280361805,0.7772221838976847,0.7160799381564206,0.032304166056718854
